Brand,Category,Item,Serving Size,Calories,Total Fat,Cholesterol (mg), Sodium (mg), Total Carbohydrates (g) , Sugars (g), Protein (g) ,Caffeine (mg)
Starbucks,Coffee & Tea,Coffee,Whole Milk,240,1,50,10,220,50,3,95
Starbucks,Coffee & Tea,Coffee,Soymilk,220,0.1,49,0,210,47,3,95
Starbucks,Coffee & Tea,Coffee,Venti Nonfat Milk,310,2,70,5,300,69,6,95
Starbucks,Coffee & Tea,Coffee,Whole Milk,350,1.5,70,15,300,69,5,130
Starbucks,Coffee & Tea,Coffee,Soymilk,310,0,68,0,300,66,5,130
Starbucks,Coffee & Tea,Mocha (Without Whipped Cream),Tall Nonfat Milk,180,0,42,0,150,40,3,130
Starbucks,Coffee & Tea,Mocha (Without Whipped Cream),Whole Milk,200,0,42,10,160,40,3,70
Starbucks,Coffee & Tea,Mocha (Without Whipped Cream),Soymilk,180,0,40,0,150,38,3,70
Starbucks,Coffee & Tea,Mocha (Without Whipped Cream),Grande Nonfat Milk,260,0,61,0,220,58,4,110
Starbucks,Coffee & Tea,Mocha (Without Whipped Cream),Whole Milk,290,0,61,10,220,58,4,110
Starbucks,Coffee & Tea,Mocha (Without Whipped Cream),Soymilk,260,2.5,59,0,220,55,4,110
Starbucks,Coffee & Tea,Mocha (Without Whipped Cream),Venti Nonfat Milk,340,5,80,5,300,76,7,140
Starbucks,Coffee & Tea,Mocha (Without Whipped Cream),Whole Milk,390,4.5,80,15,300,76,6,140
Starbucks,Coffee & Tea,Mocha (Without Whipped Cream),Soymilk,350,1,78,0,290,73,6,140
Starbucks,Coffee & Tea,Caramel (Without Whipped Cream),Tall Nonfat Milk,180,1.5,42,0,160,41,3,70
Starbucks,Coffee & Tea,Caramel (Without Whipped Cream),Whole Milk,200,1.5,42,10,160,41,3,70
Starbucks,Coffee & Tea,Caramel (Without Whipped Cream),Soymilk,180,1,40,0,150,39,2,70
Starbucks,Coffee & Tea,Caramel (Without Whipped Cream),Grande Nonfat Milk,280,2,60,0,220,59,4,100
Starbucks,Coffee & Tea,Caramel (Without Whipped Cream),Whole Milk,280,2,60,10,220,59,3,100
Starbucks,Coffee & Tea,Caramel (Without Whipped Cream),Soymilk,260,0.1,58,0,220,56,3,100
Starbucks,Coffee & Tea,Caramel (Without Whipped Cream),Venti Nonfat Milk,330,2.5,78,5,290,77,5,130
Starbucks,Coffee & Tea,Caramel (Without Whipped Cream),Whole Milk,370,1.5,78,15,300,77,5,130
Starbucks,Coffee & Tea,Caramel (Without Whipped Cream),Soymilk,340,0.1,75,0,290,73,5,130
Starbucks,Coffee & Tea,Java Chip (Without Whipped Cream),Tall Nonfat Milk,220,3,47,0,170,44,4,75
Starbucks,Coffee & Tea,Java Chip (Without Whipped Cream),Whole Milk,240,1.5,47,10,170,44,4,75
Starbucks,Coffee & Tea,Java Chip (Without Whipped Cream),Soymilk,220,0.1,45,0,170,42,3,75
